gene,z_discovery_tumor,log2FC_tumor,lfcSE_tumor,padj_tumor,z_tumor_splitA,z_tumor_splitB
ANXA5,5.638941133558259,0.6027781981001215,0.1068956358690978,0.000239572834279,4.262194119596568,3.859877851815881
KIF11,5.378832870523792,2.0121711069904067,0.3740906541300401,0.0003499112112034,4.9919633435203705,2.8382711306039545
TXN,5.237743675042502,0.5903700544064361,0.1127145754038155,0.0004815482278516,2.4512952665141685,5.632498283041862
HLA-DPA1,5.227349845991925,0.6908829061392792,0.1321669539047619,0.0004815482278516,2.288897900753977,6.342698669300328
SNX5,4.964450249392735,0.4359837280002195,0.0878211495932606,0.0009223289480317,2.8308179557036754,3.925817422022643
NDUFA9,4.954656033016007,0.5668408186525878,0.1144056852535007,0.0009223289480317,3.513178067819943,3.255179411216941
ACTN4,4.931485422689219,0.5059115337355162,0.1025880622921185,0.00095221369701,2.333997980550128,5.111889213568263
HLA-DRB1,4.873858313829697,0.7656851671723195,0.1571004157013897,0.001178747531927,2.323170482943973,5.839574723791854
PSMD14,4.853778074843764,0.7364784899246103,0.1517330373511806,0.0012114859196468,3.730752551732486,3.119587829102637
KIAA0101,4.823021389436611,1.5533142856175597,0.3220624915783353,0.0012986187781521,4.164660807294336,2.745262283085559
MCM4,4.813388546485059,1.3661453004661772,0.2838219452414234,0.0012986187781521,4.832092086882861,1.9846442113235996
HLA-DRA,4.714083598569163,0.8777280148767616,0.1861927130743233,0.0018887217825566,2.61283508216161,4.988759920175714
GBP4,4.687008820112617,0.590872069123316,0.1260659179022238,0.0020013600809196,2.797039137290187,3.8471712531545417
GGH,4.629523606475225,2.206879687889353,0.476696929421125,0.0023326564714331,4.531104433006269,2.213696871684303
CCNA2,4.592282644877465,1.5393981547735152,0.3352141568399892,0.0025578388785501,4.046490477991018,2.7892616366879297
LMNB1,4.552305426496006,0.9187342671745236,0.201817360897441,0.0029718532195344,3.381117589345282,3.22944357988554
CD2BP2,4.515568291999789,0.4962627436576778,0.1099003960447025,0.0032722554432412,2.232323817085977,5.03492433615723
EPSTI1,4.511182572004029,0.8387673077218101,0.1859306942989007,0.0032722554432412,2.639317959622803,3.943430422512865
HLA-DPB1,4.508018859467041,0.6657700769095136,0.1476857346129701,0.0032722554432412,2.6701725706237407,4.283891848609781
POMP,4.493893601068983,0.5383698571170701,0.119800312359199,0.0033066284751444,3.2353228406842924,3.0367263660491064
SKA1,4.464968546801897,2.4546188445858474,0.5497505343781215,0.0033066284751444,4.063095293745578,2.2637555350094773
PSMC1,4.463954004609539,0.4855414696217219,0.1087693710823062,0.0033066284751444,3.798698961368163,2.3519004674015
PKMYT1,4.463386606251564,1.793404209034542,0.4018034661220343,0.0033066284751444,3.097769745307784,2.940495568270084
ZWINT,4.455918787373303,1.577878713446755,0.3541084989964304,0.0033066284751444,4.334003267043834,2.049587415190494
DLGAP5,4.455433990393645,2.31807987728594,0.5202814994642383,0.0033066284751444,4.330540640515976,1.937585414907277
RN7SL56P,4.452148226786054,2.082641543025112,0.4677835141460559,0.0033066284751444,3.553912018096025,2.8617914604490307
FBXO5,4.439641094458168,1.402582350634176,0.3159224632786117,0.0033202803801409,3.527403366928263,2.733596800423815
NABP2,4.425880397385724,0.7990936221341732,0.1805502070517272,0.0034484317233639,3.545497399750443,2.6829438708177853
TPX2,4.395887013906068,1.6948419244147317,0.3855517484988177,0.0038617974930849,4.121272440913019,2.210677571416349
HLA-DRB5,4.386053900354512,0.894581108564335,0.2039603545437571,0.0039354398184961,1.9955190241954293,4.92049376377283
DNAJB11,4.3811651880133216,0.4445164806450749,0.1014607898970011,0.0039354398184961,4.423905128128506,1.819848831742458
NR5A2,4.374912053581374,2.821014330800587,0.6448162377324268,,3.830829436003448,2.326059278661754
