program,gene,role,source
CD38_CD39_Teee_resistance,ENTPD1,CD39 ectoenzyme (defining),"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,NT5E,CD73 ectoenzyme,"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,CD38,CD38 ectoenzyme (defining),"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,PDCD1,exhaustion (PD-1),"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,HAVCR2,exhaustion (TIM-3),"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,LAG3,exhaustion,"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,CTLA4,inhibitory,"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,TIGIT,inhibitory,"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,TOX,exhaustion TF,"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,MKI67,proliferation (Ki67),"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,FOXP3,Treg-associated,"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
CD38_CD39_Teee_resistance,IL2RA,activation (CD25),"Mitra & Thompson 2023, Clin Cancer Res CCR-23-0653 (PMID 37505479); markers verified in paper full text"
cytotoxic_CD4_shift,GZMB,cytotoxic granzyme B,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,GZMA,cytotoxic,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,GZMK,cytotoxic,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,GZMH,cytotoxic,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,PRF1,perforin,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,NKG7,cytotoxic granule,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,GNLY,granulysin,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,KLRG1,cytotoxic/senescence,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,KLRD1,NK-like,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,EOMES,cytotoxic TF,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,CX3CR1,effector,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,IFNG,effector cytokine,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
cytotoxic_CD4_shift,FGFBP2,cytotoxic effector,"canonical cytotoxic-CD4/CTL markers (domain-curated); concept per Bae 2025 s00262-025-04145-6 PMID 40906211, gene list NOT extracted from that paper"
